SMILES,code_name
C#CCNC(=O)Cc1ccc(Br)cc1,255
C#CCNC(=O)Cc1ccc(Cl)cc1,256
C#CCNC(=O)Cc1ccc(Cl)cc1Cl,257
C#CCNC(=O)Cc1ccc(OC)cc1,258
C#CCNC(=O)Cc1ccccc1C,259
C#CCNC(=O)Cc1ccccc1Cl,260
C#CCNC(=O)Cc1ccccc1F,261
C#CCNC(=O)Cn1cc(Br)ccc1=O,262
C#CCNC(=O)c1c(C)oc(C)c1C,263
C#CCNC(=O)c1cc(Br)c[nH]1,264
C#CCNC(=O)c1cc(Br)ccc1Cl,265
C#CCNC(=O)c1cc(Br)ccc1F,266
C#CCNC(=O)c1cc(Br)ccc1O,267
C#CCNC(=O)c1cc(C)cc(C)c1,268
C#CCNC(=O)c1cc(C)ccc1C,269
C#CCNC(=O)c1cc(C)ccc1O,270
C#CCNC(=O)c1cc(C)ccc1OC,271
C#CCNC(=O)c1cc(C)oc1C,272
C#CCNC(=O)c1cc(Cl)cc(Cl)c1,273
C#CCNC(=O)c1cc(Cl)ccc1F,274
C#CCNC(=O)c1cc(Cl)ccc1O,275
C#CCNC(=O)c1cc(Cl)ccc1OC,276
C#CCNC(=O)c1cc(Cl)ccn1,277
C#CCNC(=O)c1cc(F)c(Cl)cc1Cl,278
C#CCNC(=O)c1cc(F)cc(Br)c1,279
C#CCNC(=O)c1cc(F)cc(F)c1,280
C#CCNC(=O)c1cc(F)ccc1Br,281
C#CCNC(=O)c1cc(OC)ccc1Br,282
C#CCNC(=O)c1cc2ccccc2[nH]1,283
C#CCNC(=O)c1ccc(Br)cc1,284
C#CCNC(=O)c1ccc(Br)cc1C,285
C#CCNC(=O)c1ccc(Br)cc1F,286
C#CCNC(=O)c1ccc(C)c(C)c1,287
C#CCNC(=O)c1ccc(C)c(F)c1,288
C#CCNC(=O)c1ccc(C)cc1C,289
C#CCNC(=O)c1ccc(C)cc1O,290
C#CCNC(=O)c1ccc(C)n1C,291
C#CCNC(=O)c1ccc(CC)cc1,292
C#CCNC(=O)c1ccc(Cl)c(Cl)c1,293
C#CCNC(=O)c1ccc(Cl)cc1,294
C#CCNC(=O)c1ccc(Cl)cc1Cl,295
C#CCNC(=O)c1ccc(Cl)cc1F,296
C#CCNC(=O)c1ccc(Cl)cc1O,297
C#CCNC(=O)c1ccc(Cl)nc1,298
C#CCNC(=O)c1ccc(Cl)o1,299
C#CCNC(=O)c1ccc(F)cc1,300
C#CCNC(=O)c1ccc(F)cc1Br,301
C#CCNC(=O)c1ccc(F)cc1Cl,302
C#CCNC(=O)c1ccc(F)cc1F,303
C#CCNC(=O)c1ccc(N(C)C)cc1,304
C#CCNC(=O)c1ccc(O)c(Cl)c1,305
C#CCNC(=O)c1ccc(OC)c(Br)c1,306
C#CCNC(=O)c1ccc(OC)cc1,307
C#CCNC(=O)c1ccc(OC)cc1F,308
C#CCNC(=O)c1ccc(OC)cc1O,309
C#CCNC(=O)c1ccc2c(c1)OCO2,310
C#CCNC(=O)c1cccc(C)c1,311
C#CCNC(=O)c1cccc(C)c1C,312
C#CCNC(=O)c1cccc(C)c1O,313
C#CCNC(=O)c1cccc(Cl)c1,314
C#CCNC(=O)c1cccc(Cl)c1Cl,315
C#CCNC(=O)c1cccc(F)c1,316
C#CCNC(=O)c1cccc(N(C)C)c1,317
C#CCNC(=O)c1cccc(OC)c1,318
C#CCNC(=O)c1cccc(OCC)c1,319
C#CCNC(=O)c1ccccc1,320
C#CCNC(=O)c1ccccc1Br,321
C#CCNC(=O)c1ccccc1C,322
C#CCNC(=O)c1ccccc1Cl,323
C#CCNC(=O)c1ccccc1F,324
C#CCNC(=O)c1ccccc1N,325
C#CCNC(=O)c1ccccc1O,326
C#CCNC(=O)c1ccccc1OC,327
C#CCNC(=O)c1ccccn1,328
C#CCNC(=O)c1cccnc1,329
C#CCNC(=O)c1cccnc1Cl,330
C#CCNC(=O)c1cccnc1OC,331
C#CCNC(=O)c1ccco1,332
C#CCNC(=O)c1ccnc(Cl)c1,333
C#CCNC(=O)c1ccnc(N(C)C)c1,334
C#CCNC(=O)c1ccncc1F,335
C#CCNC(=O)c1ccoc1C,336
C#CCNC(=O)c1cn2ccccc2n1,337
C#CCNC(=O)c1cnc(C)cn1,338
C#CCNC(=O)c1cncc(Br)c1,339
C#CCNC(=O)c1cnccn1,340
C#CCNC(=O)c1coc(Br)c1,341
C#CCNC(=O)c1nc(Cl)ccc1Cl,342
C#CCNC(=O)n1ccnc1,343
C#CCNC(C)(C)C(C)=O,344
C#CCNC(C)=O,345
C#CCNCC(=O)Nc1ccccc1F,346
C#CCNCC(=O)O,347
C#CCNCC(=O)OC(C)(C)C,348
C#CCNCC(F)(F)F,349
C#CCNCc1cc(C)oc1C,350
C#CCNCc1ccc(C(=O)OC)cc1,351
C#CCNCc1ccc(Cl)cc1Cl,352
C#CCNCc1ccc(OC)cc1OC,353
C#CCNCc1ccc2c(c1)OCO2,354
C#CCNCc1cccc(C)n1,355
C#CCNCc1ccccc1Cl,356
C#CCNCc1ccccn1,357
C#CCNCc1cccnc1,358
C#CCNCc1ccco1,359
C#CCNCc1ccoc1C,360
C#CCNc1c(C)cccc1C,361
C#CCNc1cc(=O)n(C)c(=O)n1C,362
C#CCNc1cc(Br)ccc1NC(C)=O,363
C#CCNc1cc(C)cc(F)c1,364
C#CCNc1cc(NC(C)=O)ccc1C,365
C#CCNc1ccc(C(=O)OCC)cc1,366
C#CCNc1ccc(C(F)(F)F)cc1,367
C#CCNc1ccc(C)cc1,368
C#CCNc1ccc(C)cc1C,369
C#CCNc1ccc(Cl)cc1,370
C#CCNc1ccc(F)cc1F,371
C#CCNc1ccc(F)cc1OCCO,372
C#CCNc1ccc(NC(C)=O)cc1Cl,373
C#CCNc1ccc(OC)cc1,374
C#CCNc1cccc(C(F)(F)F)c1C,375
C#CCNc1cccc(C)c1C,376
C#CCNc1cccc(C)c1C(=O)NC,377
C#CCNc1ccccc1Cl,378
C#CCNc1nccnc1Cl,379
C#CCOC,380
C#CCOC(=O)C(C)(C)Br,381
C#CCOC(=O)C(C)(CO)CO,382
C#CCOC(=O)C1CCCCC1,383
C#CCOC(=O)CC,384
C#CCOC(=O)CN1CCOCC1,385
C#CCOC(=O)Cc1ccc(F)cc1F,386
C#CCOC(=O)Cc1ccc(N)cc1,387
C#CCOC(=O)Cc1ccccc1,388
C#CCOC(=O)OC,389
C#CCOC(=O)OC(C)(C)C,390
C#CCOC(=O)OCC,391
C#CCOC(=O)c1c[nH]c2ccccc12,392
C#CCOC(=O)c1ccc(C)cc1,393
C#CCOC(=O)c1ccc(Cl)cc1,394
C#CCOC(=O)c1ccc(OC)cc1,395
C#CCOC(=O)c1ccc2[nH]ccc2c1,396
C#CCOC(=O)c1ccc2cc[nH]c2c1,397
C#CCOC(=O)c1ccc2cc[nH]c2n1,398
C#CCOC(=O)c1ccccc1,399
C#CCOC(=O)c1ccccc1C,400
C#CCOC(=O)c1ccccc1C=O,401
C#CCOC(=O)c1cccnc1,402
C#CCOC(=O)n1ccnc1,403
C#CCOC(C)(C)C,404
C#CCOC(C)=O,405
C#CCOC(C)C,406
C#CCOC1CCC(CO)CC1,407
C#CCOCC,408
C#CCOCC(=O)OC,409
C#CCOCC(C)=O,410
C#CCOCC(OCC)OCC,411
C#CCOCCC(=O)OC(C)(C)C,412
C#CCOCCCO,413
C#CCOCCO,414
C#CCOCCOC,415
C#CCOCCOC(C)=O,416
C#CCOCCOCCO,417
C#CCOCCOCCOC,418
C#CCOCCOCCOCCO,419
C#CCOCCOCCOCCOC,420
C#CCOCCOCc1ccccc1,421
C#CCOCCON,422
C#CCOCc1ccc(OC)cc1,423
C#CCOCc1cccc(Br)c1,424
C#CCOCc1ccccc1,425
C#CCONC(=O)c1ccc(OC)cc1,426
C#CCOc1c(Br)cc(C=O)cc1OC,427
C#CCOc1c(Br)cc(CO)cc1OC,428
C#CCOc1c(Br)cc(F)cc1C=O,429
C#CCOc1c(Br)cc(OC)cc1C=O,430
C#CCOc1c(C)cc(Br)cc1C=O,431
C#CCOc1c(C)cc(C)cc1C,432
C#CCOc1c(C)cc(C)cc1C=O,433
C#CCOc1c(C)cc(Cl)cc1C=O,434
C#CCOc1c(C)cccc1C=O,435
C#CCOc1c(C=O)cc(Br)cc1OC,436
C#CCOc1c(C=O)cccc1OC,437
C#CCOc1c(C=O)cccc1OCC,438
C#CCOc1c(Cl)cc(C=O)cc1Br,439
C#CCOc1c(Cl)cc(C=O)cc1Cl,440
C#CCOc1c(Cl)cc(C=O)cc1OC,441
C#CCOc1c(Cl)cc(CO)cc1Cl,442
C#CCOc1c(Cl)cc(CO)cc1OC,443
C#CCOc1c(Cl)cc(Cl)cc1C=O,444
C#CCOc1c(Cl)cc(Cl)cc1CO,445
C#CCOc1c(Cl)cc(F)cc1C=O,446
C#CCOc1c(Cl)cc(OC)cc1C=O,447
C#CCOc1c(Cl)cccc1Cl,448
C#CCOc1c(OC)cccc1OC,449
C#CCOc1cc(Br)c(C=O)cc1OC,450
C#CCOc1cc(Br)c(CO)cc1OC,451
C#CCOc1cc(Br)cc(Br)c1,452
C#CCOc1cc(C(=O)OC)ccc1F,453
C#CCOc1cc(C)cc(C)c1,454
C#CCOc1cc(C)cc(C)c1C=O,455
C#CCOc1cc(C)ccc1C=O,456
C#CCOc1cc(C=O)ccc1OC,457
C#CCOc1cc(CO)ccc1OC,458
C#CCOc1cc(Cl)c(C=O)cc1OC,459
C#CCOc1cc(F)cc(F)c1,460
C#CCOc1cc(F)ccc1F,461
C#CCOc1cc(F)ccc1N,462
C#CCOc1cc(F)ccc1NC(C)=O,463
C#CCOc1ccc(Br)cc1,464
C#CCOc1ccc(Br)cc1Br,465
C#CCOc1ccc(Br)cc1C(=O)OC,466
C#CCOc1ccc(Br)cc1C=O,467
C#CCOc1ccc(Br)cc1CO,468
C#CCOc1ccc(Br)nc1,469
C#CCOc1ccc(Br)nc1C(=O)OC,470
C#CCOc1ccc(C(=O)N(C)C)cc1,471
C#CCOc1ccc(C(=O)OC)cc1,472
C#CCOc1ccc(C(C)=O)cc1,473
C#CCOc1ccc(C(C)=O)cc1OC,474
C#CCOc1ccc(C(C)C)cc1,475
C#CCOc1ccc(C(F)(F)F)cc1,476
C#CCOc1ccc(C)cc1,477
C#CCOc1ccc(C)cc1C=O,478
C#CCOc1ccc(C)nc1,479
C#CCOc1ccc(C=O)cc1,480
C#CCOc1ccc(C=O)cc1Br,481
C#CCOc1ccc(C=O)cc1CC,482
C#CCOc1ccc(C=O)cc1Cl,483
C#CCOc1ccc(C=O)cc1OC,484
C#CCOc1ccc(C=O)cc1OCC,485
C#CCOc1ccc(CC(=O)OC)cc1,486
C#CCOc1ccc(CCC)cc1,487
C#CCOc1ccc(CO)cc1,488
C#CCOc1ccc(CO)cc1Br,489
C#CCOc1ccc(CO)cc1Cl,490
C#CCOc1ccc(CO)cc1OC,491
C#CCOc1ccc(CO)cc1OCC,492
C#CCOc1ccc(Cl)c2cccnc12,493
C#CCOc1ccc(Cl)cc1,494
C#CCOc1ccc(Cl)cc1C=O,495
C#CCOc1ccc(Cl)cc1CO,496
C#CCOc1ccc(Cl)cc1Cl,497
C#CCOc1ccc(F)cc1,498
C#CCOc1ccc(F)cc1C=O,499
C#CCOc1ccc(F)cc1N,500
C#CCOc1ccc(F)cc1NC(C)=O,501
C#CCOc1ccc(N)cc1,502
C#CCOc1ccc(N)cn1,503
C#CCOc1ccc(NC)cc1,504
C#CCOc1ccc(OC)cc1,505
C#CCOc1ccc(OC)cc1C=O,506
C#CCOc1ccc(OCC)cc1,507
C#CCOc1ccc2c(c1)C(=O)CC2,508
C#CCOc1ccc2c(c1)CCC2=O,509
C#CCOc1ccc2c(c1)OCO2,510
C#CCOc1ccc2ncccc2c1,511
C#CCOc1cccc(Br)c1,512
C#CCOc1cccc(Br)c1Br,513
C#CCOc1cccc(C(=O)OC)c1,514
C#CCOc1cccc(C(C)=O)c1,515
C#CCOc1cccc(C(F)(F)F)c1,516
C#CCOc1cccc(C)c1,517
C#CCOc1cccc(C=O)c1,518
C#CCOc1cccc(CO)c1,519
C#CCOc1cccc(Cl)c1,520
C#CCOc1cccc(Cl)c1C=O,521
C#CCOc1cccc(Cl)c1Cl,522
C#CCOc1cccc(F)c1,523
C#CCOc1cccc(N)c1,524
C#CCOc1cccc(O)c1,525
C#CCOc1cccc(O)c1C,526
C#CCOc1cccc(OC)c1,527
C#CCOc1cccc(OC)c1C=O,528
C#CCOc1ccccc1,529
C#CCOc1ccccc1Br,530
C#CCOc1ccccc1C,531
C#CCOc1ccccc1C(=O)OC,532
C#CCOc1ccccc1C(C)=O,533
C#CCOc1ccccc1C(C)C,534
C#CCOc1ccccc1C(N)=O,535
C#CCOc1ccccc1C=O,536
C#CCOc1ccccc1CO,537
C#CCOc1ccccc1Cl,538
C#CCOc1ccccc1F,539
C#CCOc1ccccc1N,540
C#CCOc1ccccc1O,541
C#CCOc1ccccc1OC,542
C#CCOc1cccnc1,543
C#CCOc1cccnc1Br,544
C#CCOc1ccnc2ccccc12,545
C#CCOc1cnc(Br)cc1C,546
C#CCOc1nccc(C)c1Cl,547
C#CCOc1ncccn1,548
C#CCc1c(C)cccc1C,549
C#CCc1ccc(F)cc1,550
C#CCc1ccccc1,551
C#CCn1c(-c2ccccn2)noc1=O,552
C#CCn1c(=O)c(N)cc2ccccc21,553
C#CCn1c(=O)ccc2c(Br)cccc21,554
C#CCn1c(=O)ccc2c(Cl)cccc21,555
C#CCn1c(=O)ccc2cc(Br)ccc21,556
C#CCn1c(=O)ccc2cc(Cl)ccc21,557
C#CCn1c(=O)ccc2cc(F)ccc21,558
C#CCn1c(=O)ccc2cc(N)ccc21,559
C#CCn1c(=O)ccc2ccc(Br)cc21,560
C#CCn1c(=O)ccc2ccc(Cl)cc21,561
C#CCn1c(=O)oc(=O)c2cccnc21,562
C#CCn1c(=O)oc2cc(Cl)ccc21,563
C#CCn1c(=O)oc2ccccc21,564
C#CCn1c(C(C)=O)cc(C=O)c1C,565
C#CCn1c(C(C)=O)cc(C=O)c1CC,566
C#CCn1c(C)cc(C=O)c1C,567
C#CCn1c(C)cc(CC)c1C=O,568
C#CCn1c(C)ccc1C,569
C#CCn1c(C)nc2c(Cl)ncnc21,570
C#CCn1c(C)nc2ccccc21,571
C#CCn1c(CO)nc2ccccc21,572
C#CCn1c(COC)nc2ccccc21,573
C#CCn1cc(C=O)c2ccccc21,574
C#CCn1cc(C=O)cc1C(C)=O,575
C#CCn1cc(CO)c2ccccc21,576
C#CCn1cc(Cl)ccc1=O,577
C#CCn1ccc2ccccc21,578
C#CCn1cccc1,579
C#CCn1cccc1C=O,580
C#CCn1ccccc1=O,581
C#CCn1ccnc1,582
C#CCn1ccnc1C,583
C#CCn1ccnc1C=O,584
C#CCn1ccnc1CC,585
C#CCn1ccnc1CN1CCOCC1,586
C#CCn1cnc(-c2ccccc2)c1,587
C#CCn1cnc(-c2ccccc2)c1N,588
C#CCn1cnc(Cl)c1Cl,589
C#CCn1cnc2c(Cl)ncnc21,590
C#CCn1cnc2c(N)ncnc21,591
C#CCn1cnc2cc(C)c(C)cc21,592
C#CCn1cnc2cccc(F)c2c1=O,593
C#CCn1cnc2ccccc21,594
C#CCn1cnc2ccccc2c1=O,595
C#CCn1cnc2cnc(Cl)nc21,596
C#CCn1cnc2nc(Cl)ncc21,597
C#CCn1cnc2ncnc(Cl)c21,598
C#COC(C)(C)OC,599
C#COCC,600
C#COCCOC,601
C#Cc1[nH]c(CCC)nc1C(C)=O,602
C#Cc1c(Br)ccc(Cl)c1F,603
C#Cc1c(C)[nH]c(C(=O)OCC)c1C,604
C#Cc1c(C)cc(C)c(Br)c1C,605
C#Cc1c(C)cc(C)cc1C,606
C#Cc1c(C)cccc1C,607
C#Cc1c(C)noc1C,608
C#Cc1c(Cl)ccc(Br)c1F,609
C#Cc1c(Cl)cccc1Cl,610
C#Cc1c(F)cc(Br)cc1F,611
C#Cc1c(F)cc(F)cc1F,612
C#Cc1c(F)cc(N)cc1F,613
C#Cc1c(F)ccc(Br)c1Cl,614
C#Cc1c(F)ccc(Br)c1F,615
C#Cc1c(F)ccc(Cl)c1Br,616
C#Cc1c(F)cccc1Br,617
C#Cc1c(F)cccc1C(F)(F)F,618
C#Cc1c(F)cccc1C=O,619
C#Cc1c(F)cccc1F,620
C#Cc1c(F)cncc1F,621
C#Cc1c(OC)ccc2ncccc12,622
C#Cc1c(OC)cccc1OC,623
C#Cc1c[nH]c2ccccc12,624
C#Cc1c[nH]c2ncccc12,625
C#Cc1cc(Br)cc(C(F)(F)F)c1,626
C#Cc1cc(Br)cc(OC(F)(F)F)c1,627
C#Cc1cc(Br)ccc1F,628
C#Cc1cc(Br)ccc1OC(F)(F)F,629
C#Cc1cc(Br)ccn1,630
C#Cc1cc(C(=O)OC)cc(F)c1OC,631
C#Cc1cc(C(=O)OC)ccc1Br,632
C#Cc1cc(C(=O)OC)ccc1C,633
C#Cc1cc(C(=O)OC)ccc1F,634
C#Cc1cc(C(=O)OC)ccn1,635
C#Cc1cc(C(=O)OCC)ccc1F,636
C#Cc1cc(C(C)=O)ccc1F,637
C#Cc1cc(C(F)(F)F)ccc1Br,638
C#Cc1cc(C(F)(F)F)ccc1F,639
C#Cc1cc(C(F)(F)F)ccn1,640
C#Cc1cc(C)c(C(F)(F)F)cn1,641
C#Cc1cc(C)c(C)cc1C,642
C#Cc1cc(C)c2ccccc2n1,643
C#Cc1cc(C)cc(C)c1,644
C#Cc1cc(C)cc(F)c1,645
C#Cc1cc(C)ccc1C,646
C#Cc1cc(C)ccc1F,647
